h1,h2,h3,h4,h5,h6,h7,h8,img_filename
-0.1371346265077591,0.15834975242614746,-0.15655332803726196,-0.04697719216346741,0.09782905876636505,-0.10285201668739319,-0.13343514502048492,0.07476206868886948,heart_509.png
-0.06293265521526337,0.15335777401924133,-0.15763118863105774,-0.09231347590684891,0.07961221039295197,-0.09177307784557343,-0.10917562991380692,0.018757406622171402,heart_159.png
-0.05714619904756546,0.15378865599632263,-0.11491936445236206,-0.10351516306400299,0.11423434317111969,-0.10837163031101227,-0.10321244597434998,0.023598123341798782,heart_502.png
-0.09143543988466263,0.16284048557281494,-0.15152758359909058,-0.08577707409858704,0.08246206492185593,-0.10149753093719482,-0.12736725807189941,0.06523510068655014,heart_947.png
-0.1021757423877716,0.19021955132484436,-0.14878074824810028,-0.0735129565000534,0.0980352982878685,-0.09618476033210754,-0.14105387032032013,0.06027217581868172,heart_1029.png
-0.06252586096525192,0.18999479711055756,-0.1232634037733078,-0.09632041305303574,0.15425698459148407,-0.08000992238521576,-0.1474832445383072,0.06078667938709259,heart_929.png
-0.07565829902887344,0.14055588841438293,-0.10633772611618042,-0.09792491793632507,0.08804440498352051,-0.06260162591934204,-0.1066175103187561,-0.022727835923433304,heart_25.png
-0.05066463351249695,0.16201990842819214,-0.1002855896949768,-0.06962033361196518,0.07709432393312454,-0.08329795300960541,-0.13873028755187988,0.010491237044334412,heart_329.png
-0.08370751887559891,0.15227478742599487,-0.13241031765937805,-0.12172529101371765,0.06652137637138367,-0.05127173289656639,-0.09093701839447021,-0.01767794042825699,heart_501.png
-0.1033589169383049,0.1600196659564972,-0.14582479000091553,-0.08588078618049622,0.06405629217624664,-0.06989401578903198,-0.12271126359701157,0.05268044397234917,heart_1096.png
-0.08263581246137619,0.1524219810962677,-0.1369462013244629,-0.11038762331008911,0.053652916103601456,-0.06849673390388489,-0.10283811390399933,0.004980403929948807,heart_663.png
-0.04185326397418976,0.12047594785690308,-0.11712801456451416,-0.13106288015842438,0.053684525191783905,-0.06526343524456024,-0.06957177072763443,-0.016700349748134613,heart_537.png
-0.12407958507537842,0.18694722652435303,-0.1511794924736023,-0.03198173642158508,0.10766235738992691,-0.10001838207244873,-0.13607056438922882,0.0500444620847702,heart_345.png
-0.09960513561964035,0.17066910862922668,-0.15064309537410736,-0.09552096575498581,0.07633203268051147,-0.0636889785528183,-0.11735754460096359,0.023837193846702576,heart_1148.png
-0.10182814300060272,0.18508635461330414,-0.1620691418647766,-0.05138789117336273,0.05927722528576851,-0.08697851002216339,-0.13422855734825134,0.052224017679691315,heart_1140.png
-0.07319217920303345,0.13637292385101318,-0.12349855899810791,-0.1254669725894928,0.037050530314445496,-0.05954059213399887,-0.07709717750549316,-0.0055914148688316345,heart_449.png
-0.05019332095980644,0.13390949368476868,-0.11081735044717789,-0.12302620708942413,0.04516063630580902,-0.04356797784566879,-0.10269571840763092,-0.005139581859111786,heart_148.png
-0.13017703592777252,0.20329102873802185,-0.16858306527137756,0.009034715592861176,0.16470015048980713,-0.09355951845645905,-0.17292200028896332,0.0662619099020958,heart_254.png
-0.042863331735134125,0.14852961897850037,-0.10698295384645462,-0.12072701752185822,0.051132094115018845,-0.08540135622024536,-0.10950344800949097,0.019152425229549408,heart_1046.png
-0.0733843594789505,0.12583287060260773,-0.12183737009763718,-0.13527697324752808,0.05294116958975792,-0.07836677134037018,-0.08394123613834381,-0.02221793681383133,heart_18.png
-0.073344886302948,0.1310262829065323,-0.10080774128437042,-0.0953294187784195,0.04985203593969345,-0.060301490128040314,-0.07692480832338333,0.004321150481700897,heart_830.png
-0.11108975857496262,0.16028496623039246,-0.12823274731636047,-0.11208392679691315,0.06717897206544876,-0.09046898782253265,-0.10987588763237,0.009048473089933395,heart_1146.png
-0.12106221914291382,0.16282489895820618,-0.1504930555820465,-0.09191622585058212,0.11019456386566162,-0.11269272863864899,-0.11317480355501175,0.022443562746047974,heart_113.png
-0.11517240107059479,0.1517476737499237,-0.14944984018802643,-0.08506618440151215,0.04884960874915123,-0.07417391240596771,-0.09015075862407684,0.029387587681412697,heart_452.png
-0.11422444880008698,0.14511069655418396,-0.13565826416015625,-0.06999245285987854,0.058744095265865326,-0.06652916222810745,-0.10219781845808029,0.04479498416185379,heart_774.png
-0.04628444090485573,0.12385816872119904,-0.1029534786939621,-0.12702937424182892,0.04327109083533287,-0.05639400705695152,-0.09555990248918533,-0.008279561996459961,heart_800.png
-0.10506851226091385,0.1687362790107727,-0.18477147817611694,-0.05978069454431534,0.14527888596057892,-0.11568121612071991,-0.10492058098316193,0.03923394903540611,heart_199.png
-0.15960456430912018,0.18663300573825836,-0.20193645358085632,-0.012686721980571747,0.1568693369626999,-0.143392875790596,-0.16873496770858765,0.07413586974143982,heart_727.png
-0.12902230024337769,0.19613516330718994,-0.16842429339885712,0.008448727428913116,0.1571754664182663,-0.12097998708486557,-0.1847204864025116,0.06304077059030533,heart_881.png
-0.11178915202617645,0.1567770391702652,-0.14774659276008606,-0.033070288598537445,0.09349379688501358,-0.0745416134595871,-0.12226709723472595,0.06304803490638733,heart_277.png
